# name	load	exec	length	start_sector	locked
4.LEVD3	007380	007380	3200	423	L
4.LEVD2	007380	007380	3200	410	L
4.LEVD1	006000	006000	3584	396	L
3.LEVD3	007380	007380	2176	387	L
3.LEVD2	007380	007380	3200	374	L
3.LEVD1	006000	006000	3584	360	L
2.LEVD3	007380	007380	2176	351	L
2.LEVD2	007380	007380	3200	338	L
2.LEVD1	004A00	004A00	3584	324	L
1.LEVD3	007380	007380	2176	315	L
1.LEVD2	007380	007380	3200	302	L
1.LEVD1	004A00	004A00	3584	288	L
$.GmOv	001100	00802B	714	285	L
$.CODE3	003300	003300	912	281	L
$.CODE2	002800	00283A	2537	271	L
$.CODE	001100	001100	5863	248	L
$.Loader3	003200	00802B	245	247	L
$.WELLDON	003000	003000	10240	207	L
$.GRAPHIX	003680	003680	4992	187	L
$.SCOREBD	007100	007100	640	184	L
$.OPSC	003000	003000	17408	116	L
$.Loader2	001100	00802B	5370	95	L
$.SCR	002E00	002E00	8192	63	L
$.Options	001100	00802B	3588	48	L
$.NEVRYON	001900	00802B	11519	3	L
$.!BOOT	000000	000000	48	2	L
